;author;text;title
10;Angiolo Silvio Novaro;"Si dice, Eugenio, che non hai saputo
guardare oltre la muraglia
che ha in cima cocci aguzzi di bottiglia.
Per me quell’oltre tu l’hai percepito
l’hai collocato nel luogo sconosciuto
dove vapora la vita quale essenza.
Ora che vivi tra bionde trasparenze
il tuo messaggio sul futuro si è chiarito.
Non mostreremo più
agli azzurri specchianti del cielo
l’ansietà del volto giallino.
Vivremo un nuovo destino
come fiori impazziti di luce.
Tutto m’è raro, impreveduto dono.
Grazia fiorita,
O vita!";A Montale
11;Angiolo Silvio Novaro;"Che dice la pioggerellina
Di marzo, che picchia argentina
Sui tegoli vecchi
Del tetto, sui bruscoli secchi
Dell'orto, sul fico e sul muro
Ornati di gemmule d'oro?
Passata è l'uggiosa invernata,
Passata, passata!
Di fuor dalla nuvola nera
Di fuor dalla nuvola bigia
Che in cielo si pigia,
Domani uscirà Primavera
Con pieno il grembiale
Di tiepido sole,

Di fresche viole,
Di primule rosse, di battiti d'ale,
Di nidi,
Di gridi
Di rondini, ed anche
Di stelle di mandorlo, bianche...
 
Ciò dice la pioggerellina
Sui tegoli vecchi
Del tetto, sui bruscoli secchi
dell'orto, sul fico e sul moro
Ornati di gemmule d'oro.

Ciò canta, ciò dice;
E il cuor che l'ascolta è felice.";Che dice la pioggerellina di marzo?
12;Angiolo Silvio Novaro;"Gennaio mette ai monti la parrucca,
Febbraio grandi e piccoli imbacucca;
Marzo libera il sol di prigionia,
April di bei color gli orna la via;
Maggio vive tra musiche d'uccelli,
Giugno ama i frutti appesi ai ramoscelli;
Luglio falcia le messi al solleone,
Agosto, avaro, ansando le ripone;
Settembre i dolci grappoli arrubina,
Ottobre di vendemmia empie le tina;
Novembre ammucchia aride foglie in terra,
Dicembre ammazza l'anno, e lo sotterra.";I mesi dell'anno
13;Antonio Degli Alberti;"Fra l’Ariete e ’l Tauro è giunto il giorno
che fa le piante tornar tutte in verde
per la virtù del generante sole,
e io dolente miro l’erbe e i fiori
c’hanno i be’ colli già vestiti in terra
e lasciato il mio cor nudo nell’ombra.
Ma questa donna, Amor, che scaccia l’ombra
sì come ’l sol nell’alba appresso il giorno
quando co’ suoi bei raggi appar in terra,
può far tornar ancor mio pensier verde
e nascer nella mente novi fiori
che cercan gli occhi suoi come fa ’l sole.
Qual donna fu già mai più sotto il sole
che lucesse, appo questa fora un’ombra,
una secca erba posta infra li fiori:
quand’ella appar fra l’altre donne il giorno,
vestita tutta di color di verde,
mostra Diana esser venuta in terra.
Non credo che nascesse mai in terra
donna ch’avesse tal virtù di sole
che ne’ prati sparir facesse il verde,
e che dinanzi a’ suo begli occhi l’ombra
fuggisse, come notte oscura il giorno,
e nel viso portasse i bianchi fiori.
Perch’io l’ho chiesta infra le rose e i fiori
nella stagion che il ciel copre la terra
di fronde e d’erbe e di color di verde,
dall’alba, pria che si discopra il giorno,
fino all’ultimo dì che gira il sole,
e non ci fusse mai notte né ombra.
Ma prima sarà ispento il sol dall’ombra
e ’l verno vestirà l’alpe di fiori,
anzi che a sì bel giorno aggiunga il sole;
e non si troverà fiume né terra
per om che viva al mondo notte e giorno, 
né foglia in lauro mai per tempo verde. 
Qualunque arbore in terra ma’ più verde
carco di vaghi fiori appar il giorno
fa disparir costei, come sol ombra.";Fra l’Ariete e ’l Tauro
14;Rose Ausländer;"Ti separerai
 dagli alberi di magnolia
 e dal giubilo degli uccelli

 dalla tua casa
 e dalle mani
 che la rendono abitabile

 dall'abitudine ostinata
 di aprire gli occhi
 e chiuderli
 quando il sogno ti chiama

 dalla parola
 che ti ha creato

 Ti separerai
 dalla tua ombra
 che per tutta la vita
 ti ha inseguita nella luce

 La terra si separerà
 da te
 dall'amore tuo per lei "; Separazione 
15;Rose Ausländer;"ppure sempre ancora rose
 alte come l'estate
 farfalle
 battito d'ali di gabbiano
 sul fiume

 No
 non dimentico
 gli anni incendiati
 non dimentico
 che stivali

 calpestarono l'arcobaleno
 che presero le armi
 per trasformarci in
 rose di fuoco farfalle di fuoco ali di fuoco

 eppure ancora sempre estate piena
 il profumo
 i ranuncoli sul fiume
 l'oro sulla mia pelle

 e le rose morte
 dopo la notte";Unknown
16;Giovanni Orelli;"Io mi pento e mi dolgo del non coraggio avuto
 a chiederti: chi sei? che fai? da dove vieni?
 Slenzio e imaginativa, con sue nubi e sereni.
 Come facevo un tempo. Così sono rimasto muto.

 Su cose della bellezza tua (temuta?)
 su mani volto di tuoi capelli il biondo.
 Salveranno (pensavo) con altro vento il mondo?
 Salvezza può venire da bellezza? Sono rimasto muto.

 Poco prima che arrivassimo alla fine, a Como
 come avevo promesso a Milano nel mio inglese giù
 dissi dopo il vasto silenzio: ""We are in
 Como"".

 Come scendevi balbettai: ""I'll never never see you
 again"". Mandai in extremis bacio con le dita
 e tu idem, in più un lampo, tu, di gioia divertita.";A Farewell
17;Nikos Kazantzakis ;" Ritto sull’albero di mezzo, tra grappoli d’uva riccia,
 il grande Viaggiatore ascoltava il canto del ritorno;
 chiare e vuote le sue pupille, il cuore più leggero –
 la vita e la morte un canto, e l’uccello è la nostra 
 mente.
 Si guarda intorno, muove le mani, stringe piano i denti,
 affonda le mani tra i fichi, le melagrane e l’uva,
 e intorno ai suoi lombi si rinfrescano i dodici dèi.
 Il corpo intero del grande Giramondo si trasforma
in 
 bruma,
 la sua goletta di neve, gli amici, i frutti e la memoria
 oscillano lentamente come nebbia sul mare, svaniscono
come 
 rugiada.
 Si dissolve la carne, si offusca lo sguardo, più non 
 batte
il 
 cuore;
 e la grande mente balza sulla vetta del suo sacro riscatto,
 un palpito di ali vuote, e Odisseo, eretto nel vento,
 si leva in volo, libero dall’ultima gabbia: la sua libertà.
 Come nebbia ogni cosa si dissolve, e solamente un grido
 sulle acque calme color notte sta sospeso per un istante:
 “Orza, ragazzi, a prora soffia la dolce brezza della morte!”.";da Odissea La morte di Odisseo
18;Nikos Kazantzakis ;" La morte di Odisseo Ritto sull’albero di mezzo, tra grappoli d’uva riccia,
 il grande Viaggiatore ascoltava il canto del ritorno;
 chiare e vuote le sue pupille, il cuore più leggero –
 la vita e la morte un canto, e l’uccello è la nostra 
 mente.
 Si guarda intorno, muove le mani, stringe piano i denti,
 affonda le mani tra i fichi, le melagrane e l’uva,
 e intorno ai suoi lombi si rinfrescano i dodici dèi.
 Il corpo intero del grande Giramondo si trasforma
in 
 bruma,
 la sua goletta di neve, gli amici, i frutti e la memoria
 oscillano lentamente come nebbia sul mare, svaniscono
come 
 rugiada.
 Si dissolve la carne, si offusca lo sguardo, più non 
 batte
il 
 cuore;
 e la grande mente balza sulla vetta del suo sacro riscatto,
 un palpito di ali vuote, e Odisseo, eretto nel vento,
 si leva in volo, libero dall’ultima gabbia: la sua libertà.
 Come nebbia ogni cosa si dissolve, e solamente un grido
 sulle acque calme color notte sta sospeso per un istante:
 “Orza, ragazzi, a prora soffia la dolce brezza della morte!”.";da Odissea 
19;Uguccione Da Lodi;"Avaricia en ’sto segolo abunda e desmesura,
tradhiment et engano, avolteri e soçura:
çamai no fo la çente sì falsa ni sperçura,
qe de l’ovra de Deu unca no mete cura,
del magno Re de gloria qe sta sopra l’altura,
Quel per cui se mantien ognunca creatura.
Ben savì que ve dise la divina scritura:
tuti semo formadhi a la Soa figura.
Mai quel tegn eu per fole qe tropo s’asegura,
ni d’ensir dig pecadhi çà no vol aver cura.
Mo sì son percevù: poqi è q[u]ig qe là dura;
lo plusor de la çente vol autra caosa dura.
Qi pò aver dinari de livrar ad usura
e comprar de la terra, campi, vigna e closura,
Deu, como se percaça d’aver bona coltura,
e dis: ""Aguan farai riqa semenadhura!""
Mai tal l’à semenar, no l’à veder madura.
Mo s’el se recordasse de la scarsa mesura
c’omo ven con la cana a far la sepoltura!
Quando è reversaa la fera guardatura,
la soperbia e ’l regoio ch’avëa oltra mesura
molto tost è gitaa entro la terra dura:
lo torsel è malvasio et à rëa voltura.
La muier e i parenti de grand vertù lo plura:
tal ie mena gran dol en la soa portadura,
s’el lo pò abandonar, asai poco n’à cura.
E l’anema dolentre à pres rëa pastura
entro l’infern ardente, en quela grand calura:
là no se trovarà bela cavalcadhura,
destrier ni palafren cum soaf ambladura,
né norbia vestimenta, né rica flibadhura,
palasio ni tor, ni negun’ armadhura.
Mai ben devria la çente aver molt grand paura
de la morte crudhel, negra, pessima e scura,
qe re ni emperador encontra lei no dura,
né principo ni dus qe sia d’alta natura.
L’apostolico de Roma non à quela ventura,
çà no lo defendrà né sorte né agura,
né la cristi[a]nitad ch’à tuta en soa rancura:
mai q[u]ig serà bïadhi ch’à vivre con mesura.";dal Libro
20;Luigi Lamberti;"Pèra chi osò primiero,
fidato a briglie e a mal securo ingegno,
de l’indocil destriero
aggiogar la cervice a debil legno;
ond’alto assisi su volubil soglio,
ebbri d’insano orgoglio,
avvisaron quaggiù gli egri mortali
di farsi a Giove uguali.
O del fatal costume
artefice, cagion d’ ampie ruine,
te sul tartareo fiume
prema il flagel de le feroci Erine;
dunque, senza che l’uom caggia e trabocchi
dai perigliosi cocchi,
a bastanza da sé già non s’apria
vasta al morir la via?
Coi cari giorni, ahi! quanti
pagar la pompa dei sublimi carri,
da ferree ruote infranti,
o sotto l’unghie de’ corsier bizzarri!
Enomao il sa, che a cruda morte corse
e il suol d’Elide morse,
scosso per opra di venale auriga
da l’infedel quadriga.
Senza l’equestre fasto,
se fra i bassi guerrier l’ire movea,
forse maggior contrasto
facea Troilo al furor de l’asta achea.
Senza i destrier frenati, orbo rimaso,
forse addutta a l’occaso
non piagnevi, o d’ Egeo famoso seme,
del sangue tuo la speme.
Sventurato fanciullo!
a luì che valse il formidabil gioco
fuggir di Marte, e nullo
pagar tributo di Ciprigna al foco,
se poscia in onta dell’ortigia diva
su la trezenia riva,
l’estinse, ammenda ai non commessi falli,
l’ ira de’ suoi cavalli?
Sedea su altero cocchio
in atti il giovan dolcemente acerbi,
e con le mani e l’occhio
vegliava al fren dei corridor superbi,
quando dal grembo dei mugghianti flutti,
ecco su i lidi asciutti,
di vèr la racemifera Epidauro
balzar mostruoso tauro.
A lo spettacol diro
rincularo i cornipedi feroci,
né più il flagel sentiro
o il noto suon delle animose voci;
quindi sbattendo i rabbuffati colli,
per la gran tema folli
si disserrar, forzando e briglie e morso,
precipitosi al corso.
Come fischiando scoppia,
e fugge pietra da aggirata fionda,
corse l’equina coppia
a dritta e a manca per la curva sponda,
insin che a l’urto de gli acuti sassi
rote, timone ed assi
si scommesser crocchiando, e in cento parti
volar troncati e sparti.
Te fra le briglie avvolto,
Ippolito, traean pei scabri liti,
indarno a pregar volto,
i rei destrieri di tua man nudriti.
Così qual giglio in su ’l fiorir reciso,
isti acerbo a l’Eliso;
ed ei, che mal sul Pegaseo si tenne,
ad incontrar ti venne.";I cocchi
21; Agostino Colombo;e il cavallo che tanto ha faticato è lì anche lui e quieto.;Non guardo di fino
22; Juan Carlos Galeano;" Le montagne amano a qualunque età. Una montagna con
milioni di anni si innamora di una persona di venti.

 Una montagna addormentata aspetta per migliaia di anni
un bacio da chiunque.

 La montagna a forma di coppa vuole che la bacino solo
gli angeli. Le montagne che ne amano altre lo esprimono semplicemente
scambiandosi stormi di uccelli.

 Guardando indietro, un uomo si rende conto che una
montagna lo ha seguito.

 La montagna che ulula d'amore è davvero una fiera.

 Con solo un poco di riso e acqua ogni giorno, una
montagna è più alta e più saggia.

 (Le montagne di soldi e di panni da lavare non provano
gli stessi sentimenti). ";L'amore delle montagne è una cosa seria
23; Juan Carlos Galeano;" Il tavolo sogna spesso di esser stato un animale.

 Ma se fosse stato un animale non sarebbe una tavola.

 Se fosse stato un animale sarebbe scappato via come
gli altri
 all'arrivo delle motoseghe che tagliavano gli alberi per
ricavarne tavoli.

 Nella casa ogni sera viene una donna
 e gli passa uno straccio tiepido sul dorso come fosse
un animale.

 Con le sue quattro gambe il tavolo potrebbe andarsene
dalla casa.
 Ma pensa alle sedie che lo circondano e un animale
non abbandonerebbe i suoi figli.

 Quel che piace di più al tavolo è che la donna gli faccia
il solletico
 mentre raccoglie le briciole di pane lasciate dai bambini . ";Tavolo
24; Juan Carlos Galeano;" Chi attende guarda il paesaggio aspettando chi non
verrà.

 In lontananza si vede benissimo chi non verrà.
 Lo si scorge in una barca solitaria, nel cielo, tra le
nuvole.

 Due alberi tendono i rami per brindare al successo
del giorno.

 Chi attende sarebbe felice se i granelli di sole che
entrano nella sala
 volessero trasformarsi in chi verrà.

 Chi non verrà passa a cavallo di una mosca senza
chiedere come va.

 Chi attende vorrebbe che anche la barca solitaria e
le nuvole si preoccupassero.
 Non sarebbe nemmeno male se gli alberi del brindisi
mostrassero un po’ d’interesse . ";L’attesa
25;Rabindranath Tagore;"Il bambino adorno eli vesti principesche,
con al collo monili ingemmati,
perde ogni piacere nel gioco,
la sua veste lo impaccia a ogni passo.

Per paura che si possa stracciare
o che s'imbratti di polvere
si tiene appartato dal mondo
e ha timore persino di muoversi.

Madre, a che vale
tutta questa eleganza
se ci tiene lontani dalla salutare
polvere di questa terra,
se ci priva del diritto d'entrare
nella grande festa del mondo? ";Il bambino adorno eli vesti principesche
26;Rabindranath Tagore;"Concedi ch'io possa sedere
per un momento al tuo fianco.
Le opere cui sto attendendo
potrò finirle più tardi.

Lontano dalla vista del tuo volto
non conosco né tregua né riposo
e il mio lavoro
diventa una pena senza fine
in un mare sconfinato di dolori.

Oggi l'estate è venuta
alla mia finestra
con i suoi sussurri e sospiri,
le api fanno i menestrelli
alla corte del boschetto in fiore.

Ora è tempo di sedere tranquilli
a faccia a faccia con te
e di cantare la consacrazione
della mia vita
in questa calma straripante e silenziosa. ";Concedi ch'io possa sedere
27;Rabindranath Tagore;"Cogli questo piccolo fiore
e prendilo. Non indugiare!
Temo che esso appassisca
e cada nella polvere.

Non so se potrà trovare
posto nella tua ghirlanda
ma onoralo con la carezza pietosa
della tua mano - e coglilo.

Temo che il giorno finisca
prima del mio risveglio
e passi l'ora dell'offerta.

Anche se il colore è pallido
e tenue è il suo profumo
serviti di questo fiore
finché c'è tempo - e coglilo.";Cogli questo piccolo fiore
28;Rabindranath Tagore;"Smettila di cantare i tuoi inni,
di recitare le tue orazioni!
Chi adori in quest'angolo buio
e solitario d'un tempio
le cui porte sono tutte chiuse?
Apri i tuoi occhi e guarda:
non è qui il tuo Dio.

E' là dove l'aratore
ara la dura terra,
dove lo spaccapietre
lavora alla strada.
E' con loro nel sole e nella pioggia,
la sua veste è coperta di polvere.
Levati il manto sacro
e scendi con lui nella polvere.

Liberazione?
Dove credi di poter trovare
liberazione?
li tuo stesso signore
ha preso su di sé lietamente
i legami della creazione -
è legato a noi tutti per sempre.

Lascia le tue meditazioni,
abbandona l'incenso e i tuoi fiori!
Che male c'è se le tue vesti
diventano sporche e stracciate?
Va incontro a lui,
sta presso di lui
nel lavoro e nel sudore della fronte.";Smettila di cantare i tuoi inni
29;Rabindranath Tagore;"Qui è il tuo sgabello
e qui riposa i tuoi piedi
dove vivono i più poveri,
i più umili, i perduti.

Quando a te io cerco d'inchinarmi,
la mia riverenza non riesce ad arrivare
tanto in basso dove i tuoi piedi
riposano tra i più poveri,
i più umili, i perduti.

L'orgoglio non si può accostare
dove tu cammini, indossando
le vesti dei più poveri,
dei più umili e dei perduti.

Il mio cuore non riesce a trovare
la strada per scendere laggiù
dove tu ti accompagni a coloro che non hanno
compagni, tra i più poveri,
i più umili, e i perduti. ";Qui è il tuo sgabello
30;Rabindranath Tagore;"Il mio canto ha deposto ogni artificio.
Non sfoggia splendide vesti
né ornamenti fastosi:
non farebbero che separarci
l'uno dall'altro, e il loro clamore
coprirebbe quello che sussurri.

La mia vanità di poeta
alla tua vista muore di vergogna.
O sommo poeta,
mi sono seduto ai tuoi piedi.
Voglio rendere semplice e schietta
tutta la mia vita,
come un flauto di canna
che tu possa riempire di musica. ";Il mio canto ha deposto ogni artificio
31;Rabindranath Tagore;"A lungo durerà il mio viaggio
e lunga è la via da percorrere.

Uscii sul mio carro ai primi albori
dei giorno, e proseguii il mio viaggio
attraverso i deserti dei mondo
lasciai la mia traccia
su molte stelle e pianeti.

Sono le vie più remote
che portano più vicino a te stesso;
è con lo studio più arduo che si ottiene
la semplicità d'una melodia.

Il viandante deve bussare
a molte porte straniere
per arrivare alla sua,
e bisogna viaggiare
per tutti i mondi esteriori
per giungere infine al sacrario
più segreto all'interno del cuore.

I miei occhi vagarono lontano
prima che li chiudessi dicendo:
«Eccoti!»

Il grido e la domanda: «Dove?»
si sciolgono nelle lacrime
di mille fiumi e inondano il mondo
con la certezza: « lo sono! » ";A lungo durerà il mio viaggio
32;Rabindranath Tagore;"O stolto, che cerchi di portare
te stesso sulle tue spalle!
Mendicante, che vieni a mendicare
alla porta della tua casa!

Deponi ogni fardello in queste mani
che tutto sanno sopportare,
non voltarti mai indietro a guardare
il passato, con rimpianto.

Il desiderio subito spegne
la fiamma d'ogni lampada che sfiora.
E' empio - non prendere doni
dalle sue mani impure.
Accetta soltanto
quello ch'è offerto dall'amore. ";O stolto, che cerchi di portare
33;Rabindranath Tagore;"Mi hai fatto senza fine
questa è la tua volontà.
Questo fragile vaso
continuamente tu vuoti
continuamente lo riempi
di vita sempre nuova.

Questo piccolo flauto di canna
hai portato per valli e colline
attraverso esso hai soffiato
melodie eternamente nuove.

Quando mi sfiorano le tue mani immortali
questo piccolo cuore si perde
in una gioia senza confini
e canta melodie ineffabili.
Su queste piccole mani
scendono i tuoi doni infiniti.
Passano le età, e tu continui a versare,
e ancora c'è spazio da riempire. ";Mi hai fatto senza fine
34;Rabindranath Tagore;"Non so come tu canti, mio signore!
Sempre ti ascolto
in silenzioso stupore.
La luce della tua musica
illumina il mondo.
Il soffio della tua musica
corre da cielo a cielo.
L'onda sacra della tua musica
irrompe tra gli ostacoli pietrosi
e scorre impetuosa in avanti.

Il cuore anela di unirsi al tuo canto,
ma invano cerco una voce.
Vorrei parlare, ma le mie parole
non si fondono in canti
e impotente grido.
Hai fatto prigioniero il mio cuore
nelle infinite reti
della tua musica. ";Non so come
35;Rabindranath Tagore;"Quando mi comandi di cantare, il mio cuore
sembra scoppiare d'orgoglio
e fisso il tuo volto
e le lacrime mi riempiono gli occhi.

Tutto ciò che nella mia vita
vi è di aspro e discorde
si fonde in dolce armonia,
e la mia adorazione stende l'ali
come un uccello felice
nel suo volo a traverso il mare.

So che ti diletti del mio canto,
che soltanto come cantore
posso presentarmi al tuo cospetto.

Con l'ala distesa del mio canto
sfioro i tuoi piedi, che mai
avrei pensato di poter sfiorare.

Ebbro della felicità del mio canto
dimentico me stesso
e chiamo amico te
che sei il mio signore. ";Quando mi comandi
